ID	Year	Title	Description	Inventor	Location	Dependencies	Field	URL	
mineralogy	1556	Mining book	Wrote and illustrated "Concerning Metallic Things" and founded Mineralogy. Also contributed: Theophrastus Bombastus von Hohenheim (best name ever?)	Georg Bauer	Germany	coal-mining	Science		
tobacco	1556	Tobacco	Europeans learned about Tobacco from Native Americans. Nicotine named after Nicot, ambassador to Portugal who sent tobacco seeds to France.	Jean Nicot	France	america	Culture		
scientific-societies	1560	Scientific societies	First scientific association for idea exchange “Academy of the Mysteries of Nature” was closed down by the inquisition shortly, but others formed later.	Giambattista Della Porta	Italy	university, printing-press	Culture		
musket	1565	Musket	Arquebus was further refined into a Musket, first weapon to pierce armor. Armor penetrating meant armor was obsolete. Muskets remained principle small arms for 2 centuries, but still difficult to reload.			arquebus	War		
world-maps	1568	Mercator projection	Main feature of Mercator projection: movement in a fixed compass direction appears as a straight line on the map. The cover of the book showed Atlas holding the world on his shoulders, this is why books of maps are called atlases.	Gerard Kramer	Flanders	realistic-maps, geometry	Math		
supernova	1572	Supernova	(First recorded in Europe) Observed the process over 485 days (until it became invisible). Tried to determine parallax but found none, suggesting it was very far away. Notion of heavenly immutability destroyed.	Tycho Brahe	Denmark	new-star, moon-distance	Space		
greenland	1576	Greenland revisited	Discovered Baffin Island, and second time around, Greenland rediscovered. All Vikings settlers had died or left. Found no viable northwest passage path.	Martin Frobisher	England	northeast-passage	Geography		
comet-distance	1577	Comet distances	Distance to comets proven to be far beyond previous notions. Greeks thought comets were atmospheric phenomenon (!), but Tycho saw no parallax in the comet’s trajectory, proving it was far.	Tycho Brahe	Denmark	comet-tracking	Space		
drake-strait	1578	Drake Strait	Discovered a passage around the southernmost tip of South America. Attempting to find Straight of Magellan, which weaves through South American continent (far south), Drake overshot and found an even more southern passage. Coming back around he got as far as SFBA. 60 years after Magellan this was only the second circumnavigation of the world.	Francis Drake	England	around-earth	Geography		
pendulum	1581	Pendulums for time	First inkling that pendulums might have good time-keeping properties. Most time keeping done via heart rate, dripping water, burning candle, Took another 70 years to implement.	Galileo Galilei	Italy	mechanical-clock	Science		
siberia	1581	Siberia settled	(by Europeans) Driven by fur trade, Russia expanded east. Timofievich conquered last Mongol kingdom named Sibir. Eventually paved the way to Russians in the Pacific.	Yermak Timofievich	Russia		Geography		
gregorian-calendar	1582	Gregorian calendar	Pope mandated a calendar switch, causing holidays to be more aligned with seasons. A leap year every 4 years means a year is 365.25 days, but it’s actually 365.2422 days long. To avoid error new calendar introduced a new rule. Instead of 1/4, 97/100 had to be leap years. To adjust for the offset, 10 days were dropped on October 4, 1582. The next day was October 15.	Christoph Clavius	Rome	julian-calendar	Culture		
hydrostatics	1583	Hydrostatics	Foundational experiment: pressure of liquid on surface depends on height of liquid and area of surface but not shape of vessel	Simon Stevin	Netherlands		Science		
decimal-notation	1586	Positional notation	Positional notation including decimals for tenths, hundredths etc columns. Greatly simplified calculations using fractions. Downside: infinitely repeating decimals (eg. 1/3)	Simon Stevin	Netherlands	arab-numbers	Math		
falling-motion	1589	Falling motion	Definitive proof that objects fall at same acceleration regardless of their mass. Confusions stemmed from air resistance. Also showed that force not necessary to keep object in perpetual motion. Credited with founding experimental science.	Galileo Galilei	Italy		Science		
cryptanalysis	1589	Code breaking	Francois Vieta managed to break a code Philip II of Spain was using to send secret messages to Henry III of France.	Francois Vieta	France	arab-numbers, empire	Math		
stocking-frame	1589	Stocking frame	First knitting machine more efficient than by hand. Elizabeth I refused to grant a patent for fear of throwing hand knitters out of work. First example of technological unemployment.	William Lee	England	lever-math	Science		
microscope	1590	Microscope	Janssen, a spectacle maker first stacked two convex lenses to amplify the magnification.	Zachariah’s Janssen	Netherlands	eyeglass	Science		
algebraic-symbol	1591	Algebraic symbols	Algebraic symbol system proposed, using x and y for variables	Francois Vieta	France	algebra	Math		
thermometer	1592	Thermometer	First quantification of temperature. Simple device consisting of a long glass tube with markings that drew water up into it. As water warmed, it crept higher into the tube.	Galileo Galilei	Italy	glass-blowing, hydrostatics	Science		
east-indies	1596	East indies settled	(by Europeans) Dutch expansion into Asia. Setup a factory at Palembang on Sumatra, starting the Dutch overseas empire		Netherlands	ocean-navigation	Geography		
pi-accuracy	1596	PI accuracy	Archimedes estimated to 3.142, but van Ceulen got it to 20 and then 35 decimal places.	Ludolf van Ceulen	Netherlands	lever-math	Math		
chemistry-textbook	1597	Chemistry book	Described preparation of hydrochloride and sulfuric and nitric acid. Still Alchemy, but set stage for real chemistry.	Andreas Libau	Germany	sulfuric-acid	Science		
earth-magnet	1600	Earth as giant magnet	Discovery that Earth itself is a large magnet. Did a series of magnet-related experiments like disproving that garlic destroys magnetism and diamonds produce it.	William Gilbert	England	magnetic-declination	Science		
vein-valves	1603	Vein valves	Discovery that veins have valves that prevent backflow. Galen’s doctrine was that blood was made in liver, carried to heart and pumped through arteries and veins. Fabrici found something else but didn’t dare to go against Galen.	Girolamo Fabrici	Italy	spinal-cord	Science		
english-settlement-america	1607	English America	Jamestown became first permanent English settlement in North America, start of French-English rivalry there.	John Smith	England	america	Geography		
telescope	1608	Telescope	First telescope invented. Spectacle maker accidentally found that two lenses, one at a distance from another enabled him to see really far and upside-down.	Hans Lippershey	Netherlands	microscope	Science		
french-settlement-america	1608	French America	Quebec: first permanent French settlement in North America, Commissioned by Henry IV	Samuel de Champlain	France	english-settlement-america	Geography		
elliptical-orbits	1609	Elliptical orbits	Discovery that planetary orbits aren’t circular but elliptical. Working under Tycho Brahe, Kepler found that his teacher’s data worked best for non-circular orbits with sun at one of the foci’s. Also developed Kepler’s laws.	Johannes Kepler	Germany	planetary-tables-better, trig-tables	Space		
milky-way	1609	Milky Way	Discovery that the Milky Way is full of stars. Galileo replicated Lippershey’s telescope and peered into the Milky Way, discerning many small stars.	Galileo Galilei	Italy	telescope, atom	Space		
moon	1609	Moon mountains	Discovery that the moon has mountains. Also with the help of his telescope, Galileo discerned dark spots on the moon t hat might have been seas. Ultimately it suggested that the moon wasn’t just a globe of light, but a world.	Galileo Galilei	Italy	telescope	Space		
jupiter-moons	1610	Jupiter's four moons	Discovery that Jupiter has 4 moons orbiting it with apparently elliptical orbits. Another point against egocentrism.	Galileo Galilei	Italy	moon, elliptical-orbits	Space		
venus-phases	1610	Venus phases	Discovery that Venus has a full range of phases. The discovery strongly suggests heliocentric model.	Galileo Galilei	Italy	telescope, heliocentric-practice	Space		
sunspots	1610	Sunspots	Discovery of sunspots. Annoying to religious conservatives since the sun was supposed to be perfect.	Galileo Galilei	Italy	telescope	Space		
andromeda-nebula	1612	Andromeda Nebula	Discovery of nebulas (specifically Andromeda)	Simon Marius	Italy	telescope	Space		
logarithms	1614	Logarithms	Napier first produced a table of logarithms.	John Napier	Scotland	negative-numbers	Math		
metabolism	1614	Biological metabolism	Beginning of the study of biological metabolism. Self-experimented while eating and drinking, found he lost more weight than the weight of his feces and urine.	Santorum Santorio	Italy		Science		
baffin-bay	1616	Baffin Bay	Came as far as 78 deg N, within 800 miles of North Pole, concluding that there was no practical NW passage. Furthest north for 2.5 centuries.	William Baffin	England	greenland	Geography		
tierra-del-fuego	1616	Tierra Del Fuego	Sailed around the southern tip of Cape Horn, which is on a large island.	Jakob Le Maire	Netherlands	drake-strait	Geography		
stagecoach	1620	Stagecoaches	A stagecoache is a horse and carriage that follows a schedule, taking passengers between destinations for payment. An early form of public transport.			paved-road	General		
scientific-method	1620	Scientific method	New Organon published. Bacon laid out the foundation for the scientific method, going beyond logic. Formalized experimental science.	Francis Bacon	England	scientific-societies	Culture		
refraction	1621	Light refraction	Mathematical model for light refraction. Well known that when a beam of light passes from air into water, it bends towards the vertical. Snel quantified it.	Willebrord Snel	Netherlands	optics, hydrostatics	Science		
